Model,Final MAE - Next Week,Final MAE - Next Month,Final MAE - Next Year,Final MSE - Next Week,Final MSE - Next Month,Final MSE - Next Year,Final RMSE - Next Week,Final RMSE - Next Month,Final RMSE - Next Year,R2 Score - Next Week,R2 Score - Next Month,R2 Score - Next Year
CNN - Water Only,0.04818626647306535,0.05910238319319006,0.07278498684874861,0.006000146868904117,0.008667003037087813,0.013010016531748273,0.0774606149530464,0.09309674020656047,0.11406145944949272,0.4356712311773744,0.27657626714187544,0.06356997622110597
LSTM - Water Only,0.047333804587417316,0.05875482539516357,0.07295579581336183,0.005913283330677746,0.008758530953584908,0.013091919331543921,0.0768978759828758,0.0935870234251785,0.1144199254131199,0.44517295581777844,0.28386868699869333,0.06860799237561874
CNN-LSTM - Water Only,0.04917563814988694,0.05866739963431838,0.07188479025883383,0.00616689963519749,0.008606880142293941,0.012638235857329736,0.07852960992643152,0.09277327277990112,0.11241990863423496,0.4291044634954715,0.298636201264244,0.0906522803546952
CNN - Water + External,0.08426626299741774,0.09888977255472518,0.11313979507330627,0.019320965511320953,0.023525768892502963,0.028646039328233702,0.13899987593994806,0.1533811229992236,0.16925140864475458,0.3949696431642295,0.22295487925568627,0.06953088937989592
LSTM - Water + External,0.08424222456205371,0.09845663923972105,0.11313571069222317,0.019499288430511384,0.024011867770315325,0.029427548026255558,0.1396398525869724,0.1549576321783323,0.1715445948616731,0.39198687748318234,0.2477530702473551,0.05565925790341652
CNN-LSTM - Water + External,0.08456568654992165,0.10010915327583284,0.11315176134252469,0.019618866981023313,0.02414136863072167,0.02872701080981884,0.14006736586736868,0.15537492922193616,0.16949044459738383,0.37929423988975614,0.21582589789627793,0.0820697747107176
