weather_condition
Calm
Cloudy
Cloudy to sunny
Cloudy with rain shower
"Cloudy, Partly Sunny"
Cloudy/Rainy
Cold
Fair
"Hazy, Drizzly"
Heavy Rain
Mostly Cloudy
Mostly Cloudy w/ Rainshowers
Mostly Sunny
Partly
Partly Cloudy
Partly Cloudy/Sunny
Partly Sunny
Rainshowers
Rainy
Sunny
Sunny to Cloudy
"Sunny, Partly Cloudy"
""
